Rideshare_Company,Order_Date,Customer_Id,Number_Of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Historical_Unit_Price,Pricing_Model,Supply_By_Demand,"Demand_Profile
(34%-66%-MED)"
HWCO,11/1/25,User_SIL_001,90,45,Urban,Silver,13,4.47,Night,Premium,90,$284.26 ,$3.16 ,CONTRACTED,50.00%,MEDIUM
HWCO,11/1/25,User_SIL_002,58,39,Suburban,Silver,72,4.06,Evening,Economy,43,$173.87 ,$4.04 ,STANDARD,67.24%,LOW
HWCO,11/1/25,User_SIL_003,42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,$329.80 ,$4.34 ,STANDARD,73.81%,LOW
HWCO,11/1/25,User_REG_001,89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,$470.20 ,$3.51 ,CONTRACTED,31.46%,HIGH
HWCO,11/1/25,User_REG_002,78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,$579.68 ,$3.89 ,STANDARD,28.21%,HIGH
HWCO,11/1/25,User_SIL_004,59,35,Urban,Silver,83,3.51,Night,Economy,128,$339.96 ,$2.66 ,CONTRACTED,59.32%,MEDIUM
HWCO,11/1/25,User_REG_003,93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,$104.06 ,$6.50 ,STANDARD,46.24%,MEDIUM
HWCO,11/1/25,User_GLD_001,62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,$235.81 ,$5.02 ,STANDARD,62.90%,MEDIUM
HWCO,11/1/25,User_SIL_005,79,14,Rural,Silver,71,3.74,Evening,Economy,128,$501.41 ,$3.92 ,STANDARD,17.72%,HIGH
HWCO,11/1/25,User_SIL_006,42,6,Rural,Silver,21,3.85,Night,Premium,128,$398.99 ,$3.12 ,CONTRACTED,14.29%,HIGH
HWCO,11/1/25,User_REG_004,86,17,Urban,Regular,99,4.69,Morning,Economy,167,$669.30 ,$4.01 ,STANDARD,19.77%,HIGH
HWCO,11/1/25,User_GLD_002,60,38,Rural,Gold,15,4.14,Evening,Premium,144,$414.99 ,$2.88 ,CONTRACTED,63.33%,MEDIUM
HWCO,11/1/25,User_GLD_003,24,8,Rural,Gold,50,4.12,Morning,Economy,164,$490.41 ,$2.99 ,STANDARD,33.33%,HIGH
HWCO,11/1/25,User_SIL_007,36,24,Suburban,Silver,88,4.22,Night,Premium,83,$296.24 ,$3.57 ,CONTRACTED,66.67%,MEDIUM
HWCO,11/1/25,User_REG_005,63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,$327.09 ,$3.21 ,CONTRACTED,20.63%,HIGH
HWCO,11/1/25,User_SIL_008,39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,$445.14 ,$3.18 ,CONTRACTED,30.77%,HIGH
HWCO,11/1/25,User_SIL_009,38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,$244.54 ,$4.53 ,STANDARD,73.68%,LOW
HWCO,11/1/25,User_SIL_010,46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,$47.31 ,$3.15 ,STANDARD,30.43%,HIGH
HWCO,11/1/25,User_GLD_004,33,7,Suburban,Gold,49,4.31,Evening,Premium,22,$129.81 ,$5.90 ,STANDARD,21.21%,HIGH
HWCO,11/1/25,User_SIL_011,31,7,Suburban,Silver,24,4.82,Evening,Premium,87,$382.95 ,$4.40 ,STANDARD,22.58%,HIGH
HWCO,11/1/25,User_REG_006,96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,$82.77 ,$7.52 ,STANDARD,46.88%,MEDIUM
HWCO,11/1/25,User_SIL_012,22,11,Suburban,Silver,79,4.48,Night,Economy,15,$64.07 ,$4.27 ,CUSTOM,50.00%,MEDIUM
HWCO,11/1/25,User_REG_007,74,16,Rural,Regular,6,3.97,Morning,Economy,139,$390.67 ,$2.81 ,CONTRACTED,21.62%,HIGH
HWCO,11/1/25,User_REG_008,24,12,Urban,Regular,10,3.6,Evening,Premium,45,$212.17 ,$4.71 ,STANDARD,50.00%,MEDIUM
HWCO,11/1/25,User_GLD_005,48,19,Suburban,Gold,72,3.81,Night,Premium,65,$235.66 ,$3.63 ,CONTRACTED,39.58%,MEDIUM
